ID;Fabrica;Activo;Tecnología;Pais;lat;lon
344;Galicia;1;Maquinaria Auxiliar;España;40.46;-3.74
345;Asturias;1;Maquinaria Auxiliar;España;40.46;-3.74
384;Asturias;1;Oficinas administrativas;España;40.46;-3.74
347;Baja California;1;Maquinaria Auxiliar;EEUU;37.09;-95.71
348;Çepas;1;Maquinaria Auxiliar;Turquía;38.96;35.24
349;Colombia;1;Maquinaria Auxiliar;Colombia;4.57;-74.29
350;Thüringen;1;Maquinaria Auxiliar;Alemania;511.656;104.515
351;Polska;1;Maquinaria Auxiliar;Polonia;51.91;19.14
352;Senica;1;Maquinaria Auxiliar;Eslovaquia;48.66;19.69
353;Kaluga;1;Maquinaria Auxiliar;Russia;61.52;105.31
354;Czech;1;Maquinaria Auxiliar;Rep.Checa;49.81;15.47
423;Asturias;1;Puente Grúa;España;40.46;-3.74
356;Puebla;1;Maquinaria Auxiliar;México;23.63;-102.55
357;South Carolina;1;Maquinaria Auxiliar;EEUU;37.09;-95.71
358;Argentina;1;Maquinaria Auxiliar;Argentina;-38.416.097;-63.616.672
359;Paraná;1;Maquinaria Auxiliar;Argentina;-38.416.097;-63.616.672
360;Campinas;1;Maquinaria Auxiliar;Brasil;-14.23;-51.92
361;Dongguan;1;Maquinaria Auxiliar;China;35.86;104.19
463;Asturias;1;Carpinteria;España;40.46;-3.74
363;Changshu;1;Maquinaria Auxiliar;China;35.86;104.19
364;Shenyang;1;Maquinaria Auxiliar;China;35.86;104.19
365;Chongqing;1;Maquinaria Auxiliar;China;35.86;104.19
366;Loudi;1;Maquinaria Auxiliar;China;35.86;104.19
367;GCF;1;Maquinaria Auxiliar;Rep.Checa;49.81;15.47
368;Bridge Street;1;Maquinaria Auxiliar;UK;55.37;-3.43
369;Newton Aycliffe;1;Maquinaria Auxiliar;UK;55.37;-3.43
370;Popes Lane;1;Maquinaria Auxiliar;UK;55.37;-3.43
371;Darlaston;1;Maquinaria Auxiliar;UK;55.37;-3.43
372;Cannock;1;Maquinaria Auxiliar;Holanda;52.13;5.29
373;Barcelona;1;Oficinas administrativas;España;40.46;-3.74
374;Burgos;1;Oficinas administrativas;España;40.46;-3.74
375;Tarragona;1;Oficinas administrativas;España;40.46;-3.74
376;Valencia;1;Oficinas administrativas;España;40.46;-3.74
377;Portugal;1;Oficinas administrativas;Portugal;39.39;-8.22
378;Union Street;1;Oficinas administrativas;UK;55.37;-3.43
502;Asturias;1;Almacen de recambios;España;40.46;-3.74
541;Asturias;1;Almacen productos quimicos;España;40.46;-3.74
574;Asturias;1;Residuos productos quimicos;España;40.46;-3.74
382;Navarra;1;Oficinas administrativas;España;40.46;-3.74
383;Galicia;1;Oficinas administrativas;España;40.46;-3.74
607;Asturias;1;Carretilla;España;40.46;-3.74
640;Asturias;1;Coil to Coil;España;40.46;-3.74
386;Baja California;1;Oficinas administrativas;EEUU;37.09;-95.71
387;Çepas;1;Oficinas administrativas;Turquía;38.96;35.24
388;Colombia;1;Oficinas administrativas;Colombia;4.57;-74.29
389;Thüringen;1;Oficinas administrativas;Alemania;511.656;104.515
390;Polska;1;Oficinas administrativas;Polonia;51.91;19.14
391;Senica;1;Oficinas administrativas;Eslovaquia;48.66;19.69
392;Kaluga;1;Oficinas administrativas;Russia;61.52;105.31
393;Czech;1;Oficinas administrativas;Rep.Checa;49.81;15.47
662;Asturias;1;Soldadura Manual;España;40.46;-3.74
395;Puebla;1;Oficinas administrativas;México;23.63;-102.55
396;South Carolina;1;Oficinas administrativas;EEUU;37.09;-95.71
397;Argentina;1;Oficinas administrativas;Argentina;-38.416.097;-63.616.672
398;Paraná;1;Oficinas administrativas;Argentina;-38.416.097;-63.616.672
399;Campinas;1;Oficinas administrativas;Brasil;-14.23;-51.92
400;Dongguan;1;Oficinas administrativas;China;35.86;104.19
664;Asturias;1;General / Auxiliar;España;40.46;-3.74
402;Changshu;1;Oficinas administrativas;China;35.86;104.19
403;Shenyang;1;Oficinas administrativas;China;35.86;104.19
404;Chongqing;1;Oficinas administrativas;China;35.86;104.19
405;Loudi;1;Oficinas administrativas;China;35.86;104.19
406;GCF;1;Oficinas administrativas;Rep.Checa;49.81;15.47
407;Bridge Street;1;Oficinas administrativas;UK;55.37;-3.43
408;Newton Aycliffe;1;Oficinas administrativas;UK;55.37;-3.43
409;Popes Lane;1;Oficinas administrativas;UK;55.37;-3.43
410;Darlaston;1;Oficinas administrativas;UK;55.37;-3.43
411;Cannock;1;Oficinas administrativas;Holanda;52.13;5.29
412;Barcelona;1;Puente Grúa;España;40.46;-3.74
413;Burgos;1;Puente Grúa;España;40.46;-3.74
414;Tarragona;1;Puente Grúa;España;40.46;-3.74
415;Valencia;1;Puente Grúa;España;40.46;-3.74
416;Portugal;1;Puente Grúa;Portugal;39.39;-8.22
417;Union Street;1;Puente Grúa;UK;55.37;-3.43
106;Laser Barcelona;1;Almacén de Materia Prima;España;40.46;-3.74
145;Laser Barcelona;1;Almacén de Producto Terminado;España;40.46;-3.74
184;Laser Barcelona;1;Almacén producto semielaborado o en producción;España;40.46;-3.74
421;Navarra;1;Puente Grúa;España;40.46;-3.74
422;Galicia;1;Puente Grúa;España;40.46;-3.74
223;Laser Barcelona;1;Área de embalado;España;40.46;-3.74
262;Laser Barcelona;1;Instalaciones exteriores y auxiliares;España;40.46;-3.74
425;Baja California;1;Puente Grúa;EEUU;37.09;-95.71
426;Çepas;1;Puente Grúa;Turquía;38.96;35.24
427;Colombia;1;Puente Grúa;Colombia;4.57;-74.29
428;Thüringen;1;Puente Grúa;Alemania;511.656;104.515
429;Polska;1;Puente Grúa;Polonia;51.91;19.14
430;Senica;1;Puente Grúa;Eslovaquia;48.66;19.69
431;Kaluga;1;Puente Grúa;Russia;61.52;105.31
432;Czech;1;Puente Grúa;Rep.Checa;49.81;15.47
301;Laser Barcelona;1;Mantenimiento;España;40.46;-3.74
434;Puebla;1;Puente Grúa;México;23.63;-102.55
435;South Carolina;1;Puente Grúa;EEUU;37.09;-95.71
436;Argentina;1;Puente Grúa;Argentina;-38.416.097;-63.616.672
437;Paraná;1;Puente Grúa;Argentina;-38.416.097;-63.616.672
438;Campinas;1;Puente Grúa;Brasil;-14.23;-51.92
439;Dongguan;1;Puente Grúa;China;35.86;104.19
340;Laser Barcelona;1;Maquinaria Auxiliar;España;40.46;-3.74
441;Changshu;1;Puente Grúa;China;35.86;104.19
442;Shenyang;1;Puente Grúa;China;35.86;104.19
443;Chongqing;1;Puente Grúa;China;35.86;104.19
444;Loudi;1;Puente Grúa;China;35.86;104.19
445;GCF;1;Puente Grúa;Rep.Checa;49.81;15.47
446;Bridge Street;1;Puente Grúa;UK;55.37;-3.43
447;Newton Aycliffe;1;Puente Grúa;UK;55.37;-3.43
448;Popes Lane;1;Puente Grúa;UK;55.37;-3.43
449;Darlaston;1;Puente Grúa;UK;55.37;-3.43
450;Cannock;1;Puente Grúa;Holanda;52.13;5.29
451;Paraná;1;Corte Longitudinal;Argentina;-38.416.097;-63.616.672
452;Barcelona;1;Carpinteria;España;40.46;-3.74
453;Burgos;1;Carpinteria;España;40.46;-3.74
454;Tarragona;1;Carpinteria;España;40.46;-3.74
455;Valencia;1;Carpinteria;España;40.46;-3.74
456;Portugal;1;Carpinteria;Portugal;39.39;-8.22
457;Union Street;1;Carpinteria;UK;55.37;-3.43
379;Laser Barcelona;1;Oficinas administrativas;España;40.46;-3.74
418;Laser Barcelona;1;Puente Grúa;España;40.46;-3.74
458;Laser Barcelona;1;Carpinteria;España;40.46;-3.74
461;Navarra;1;Carpinteria;España;40.46;-3.74
462;Galicia;1;Carpinteria;España;40.46;-3.74
497;Laser Barcelona;1;Almacen de recambios;España;40.46;-3.74
536;Laser Barcelona;1;Almacen productos quimicos;España;40.46;-3.74
465;Baja California;1;Carpinteria;EEUU;37.09;-95.71
466;Çepas;1;Carpinteria;Turquía;38.96;35.24
467;Colombia;1;Carpinteria;Colombia;4.57;-74.29
468;Thüringen;1;Carpinteria;Alemania;511.656;104.515
469;Polska;1;Carpinteria;Polonia;51.91;19.14
470;Senica;1;Carpinteria;Eslovaquia;48.66;19.69
471;Kaluga;1;Carpinteria;Russia;61.52;105.31
472;Czech;1;Carpinteria;Rep.Checa;49.81;15.47
569;Laser Barcelona;1;Residuos productos quimicos;España;40.46;-3.74
474;Puebla;1;Carpinteria;México;23.63;-102.55
475;South Carolina;1;Carpinteria;EEUU;37.09;-95.71
476;Argentina;1;Carpinteria;Argentina;-38.416.097;-63.616.672
477;Paraná;1;Carpinteria;Argentina;-38.416.097;-63.616.672
478;Campinas;1;Carpinteria;Brasil;-14.23;-51.92
479;Dongguan;1;Carpinteria;China;35.86;104.19
481;Changshu;1;Carpinteria;China;35.86;104.19
482;Shenyang;1;Carpinteria;China;35.86;104.19
483;Chongqing;1;Carpinteria;China;35.86;104.19
484;Loudi;1;Carpinteria;China;35.86;104.19
486;Bridge Street;1;Carpinteria;UK;55.37;-3.43
487;Newton Aycliffe;1;Carpinteria;UK;55.37;-3.43
488;Popes Lane;1;Carpinteria;UK;55.37;-3.43
489;Darlaston;1;Carpinteria;UK;55.37;-3.43
490;Cannock;1;Carpinteria;Holanda;52.13;5.29
491;Barcelona;1;Almacen de recambios;España;40.46;-3.74
492;Burgos;1;Almacen de recambios;España;40.46;-3.74
493;Tarragona;1;Almacen de recambios;España;40.46;-3.74
494;Valencia;1;Almacen de recambios;España;40.46;-3.74
495;Portugal;1;Almacen de recambios;Portugal;39.39;-8.22
496;Union Street;1;Almacen de recambios;UK;55.37;-3.43
602;Laser Barcelona;1;Carretilla;España;40.46;-3.74
60;Laser Brandenburg;1;Corte Láser 3D;Rep.Checa;49.81;15.47
121;Laser Brandenburg;1;Almacén de Materia Prima;Rep.Checa;49.81;15.47
500;Navarra;1;Almacen de recambios;España;40.46;-3.74
501;Galicia;1;Almacen de recambios;España;40.46;-3.74
160;Laser Brandenburg;1;Almacén de Producto Terminado;Rep.Checa;49.81;15.47
199;Laser Brandenburg;1;Almacén producto semielaborado o en producción;Rep.Checa;49.81;15.47
504;Baja California;1;Almacen de recambios;EEUU;37.09;-95.71
505;Çepas;1;Almacen de recambios;Turquía;38.96;35.24
506;Colombia;1;Almacen de recambios;Colombia;4.57;-74.29
507;Thüringen;1;Almacen de recambios;Alemania;511.656;104.515
508;Polska;1;Almacen de recambios;Polonia;51.91;19.14
509;Senica;1;Almacen de recambios;Eslovaquia;48.66;19.69
510;Kaluga;1;Almacen de recambios;Russia;61.52;105.31
511;Czech;1;Almacen de recambios;Rep.Checa;49.81;15.47
238;Laser Brandenburg;1;Área de embalado;Rep.Checa;49.81;15.47
513;Puebla;1;Almacen de recambios;México;23.63;-102.55
514;South Carolina;1;Almacen de recambios;EEUU;37.09;-95.71
515;Argentina;1;Almacen de recambios;Argentina;-38.416.097;-63.616.672
516;Paraná;1;Almacen de recambios;Argentina;-38.416.097;-63.616.672
517;Campinas;1;Almacen de recambios;Brasil;-14.23;-51.92
518;Dongguan;1;Almacen de recambios;China;35.86;104.19
277;Laser Brandenburg;1;Instalaciones exteriores y auxiliares;Rep.Checa;49.81;15.47
520;Changshu;1;Almacen de recambios;China;35.86;104.19
521;Shenyang;1;Almacen de recambios;China;35.86;104.19
522;Chongqing;1;Almacen de recambios;China;35.86;104.19
523;Loudi;1;Almacen de recambios;China;35.86;104.19
524;GCF;1;Almacen de recambios;Rep.Checa;49.81;15.47
525;Bridge Street;1;Almacen de recambios;UK;55.37;-3.43
526;Newton Aycliffe;1;Almacen de recambios;UK;55.37;-3.43
527;Popes Lane;1;Almacen de recambios;UK;55.37;-3.43
528;Darlaston;1;Almacen de recambios;UK;55.37;-3.43
529;Cannock;1;Almacen de recambios;Holanda;52.13;5.29
530;Barcelona;1;Almacen productos quimicos;España;40.46;-3.74
531;Burgos;1;Almacen productos quimicos;España;40.46;-3.74
532;Tarragona;1;Almacen productos quimicos;España;40.46;-3.74
533;Valencia;1;Almacen productos quimicos;España;40.46;-3.74
534;Portugal;1;Almacen productos quimicos;Portugal;39.39;-8.22
535;Union Street;1;Almacen productos quimicos;UK;55.37;-3.43
316;Laser Brandenburg;1;Mantenimiento;Rep.Checa;49.81;15.47
355;Laser Brandenburg;1;Maquinaria Auxiliar;Rep.Checa;49.81;15.47
394;Laser Brandenburg;1;Oficinas administrativas;Rep.Checa;49.81;15.47
539;Navarra;1;Almacen productos quimicos;España;40.46;-3.74
540;Galicia;1;Almacen productos quimicos;España;40.46;-3.74
433;Laser Brandenburg;1;Puente Grúa;Rep.Checa;49.81;15.47
473;Laser Brandenburg;1;Carpinteria;Rep.Checa;49.81;15.47
543;Baja California;1;Almacen productos quimicos;EEUU;37.09;-95.71
544;Çepas;1;Almacen productos quimicos;Turquía;38.96;35.24
545;Colombia;1;Almacen productos quimicos;Colombia;4.57;-74.29
546;Thüringen;1;Almacen productos quimicos;Alemania;511.656;104.515
547;Polska;1;Almacen productos quimicos;Polonia;51.91;19.14
548;Senica;1;Almacen productos quimicos;Eslovaquia;48.66;19.69
549;Kaluga;1;Almacen productos quimicos;Russia;61.52;105.31
550;Czech;1;Almacen productos quimicos;Rep.Checa;49.81;15.47
512;Laser Brandenburg;1;Almacen de recambios;Rep.Checa;49.81;15.47
552;Puebla;1;Almacen productos quimicos;México;23.63;-102.55
553;South Carolina;1;Almacen productos quimicos;EEUU;37.09;-95.71
554;Argentina;1;Almacen productos quimicos;Argentina;-38.416.097;-63.616.672
555;Paraná;1;Almacen productos quimicos;Argentina;-38.416.097;-63.616.672
556;Campinas;1;Almacen productos quimicos;Brasil;-14.23;-51.92
557;Dongguan;1;Almacen productos quimicos;China;35.86;104.19
558;Bridge Street;1;Almacen productos quimicos;UK;55.37;-3.43
559;Newton Aycliffe;1;Almacen productos quimicos;UK;55.37;-3.43
560;Popes Lane;1;Almacen productos quimicos;UK;55.37;-3.43
561;Darlaston;1;Almacen productos quimicos;UK;55.37;-3.43
562;Cannock;1;Almacen productos quimicos;Holanda;52.13;5.29
563;Barcelona;1;Residuos productos quimicos;España;40.46;-3.74
564;Burgos;1;Residuos productos quimicos;España;40.46;-3.74
565;Tarragona;1;Residuos productos quimicos;España;40.46;-3.74
566;Valencia;1;Residuos productos quimicos;España;40.46;-3.74
567;Portugal;1;Residuos productos quimicos;Portugal;39.39;-8.22
568;Union Street;1;Residuos productos quimicos;UK;55.37;-3.43
551;Laser Brandenburg;1;Almacen productos quimicos;Rep.Checa;49.81;15.47
584;Laser Brandenburg;1;Residuos productos quimicos;Rep.Checa;49.81;15.47
617;Laser Brandenburg;1;Carretilla;Rep.Checa;49.81;15.47
572;Navarra;1;Residuos productos quimicos;España;40.46;-3.74
573;Galicia;1;Residuos productos quimicos;España;40.46;-3.74
650;Laser Brandenburg;1;Coil to Coil;Rep.Checa;49.81;15.47
107;Laser Valencia;1;Almacén de Materia Prima;España;40.46;-3.74
576;Baja California;1;Residuos productos quimicos;EEUU;37.09;-95.71
577;Çepas;1;Residuos productos quimicos;Turquía;38.96;35.24
578;Colombia;1;Residuos productos quimicos;Colombia;4.57;-74.29
579;Thüringen;1;Residuos productos quimicos;Alemania;511.656;104.515
580;Polska;1;Residuos productos quimicos;Polonia;51.91;19.14
581;Senica;1;Residuos productos quimicos;Eslovaquia;48.66;19.69
582;Kaluga;1;Residuos productos quimicos;Russia;61.52;105.31
583;Czech;1;Residuos productos quimicos;Rep.Checa;49.81;15.47
146;Laser Valencia;1;Almacén de Producto Terminado;España;40.46;-3.74
585;Puebla;1;Residuos productos quimicos;México;23.63;-102.55
586;South Carolina;1;Residuos productos quimicos;EEUU;37.09;-95.71
587;Argentina;1;Residuos productos quimicos;Argentina;-38.416.097;-63.616.672
588;Paraná;1;Residuos productos quimicos;Argentina;-38.416.097;-63.616.672
589;Campinas;1;Residuos productos quimicos;Brasil;-14.23;-51.92
590;Dongguan;1;Residuos productos quimicos;China;35.86;104.19
591;Bridge Street;1;Residuos productos quimicos;UK;55.37;-3.43
592;Newton Aycliffe;1;Residuos productos quimicos;UK;55.37;-3.43
593;Popes Lane;1;Residuos productos quimicos;UK;55.37;-3.43
594;Darlaston;1;Residuos productos quimicos;UK;55.37;-3.43
595;Cannock;1;Residuos productos quimicos;Holanda;52.13;5.29
596;Barcelona;1;Carretilla;España;40.46;-3.74
597;Burgos;1;Carretilla;España;40.46;-3.74
598;Tarragona;1;Carretilla;España;40.46;-3.74
599;Valencia;1;Carretilla;España;40.46;-3.74
600;Portugal;1;Carretilla;Portugal;39.39;-8.22
601;Union Street;1;Carretilla;UK;55.37;-3.43
185;Laser Valencia;1;Almacén producto semielaborado o en producción;España;40.46;-3.74
224;Laser Valencia;1;Área de embalado;España;40.46;-3.74
263;Laser Valencia;1;Instalaciones exteriores y auxiliares;España;40.46;-3.74
605;Navarra;1;Carretilla;España;40.46;-3.74
606;Galicia;1;Carretilla;España;40.46;-3.74
302;Laser Valencia;1;Mantenimiento;España;40.46;-3.74
341;Laser Valencia;1;Maquinaria Auxiliar;España;40.46;-3.74
609;Baja California;1;Carretilla;EEUU;37.09;-95.71
610;Çepas;1;Carretilla;Turquía;38.96;35.24
611;Colombia;1;Carretilla;Colombia;4.57;-74.29
612;Thüringen;1;Carretilla;Alemania;511.656;104.515
613;Polska;1;Carretilla;Polonia;51.91;19.14
614;Senica;1;Carretilla;Eslovaquia;48.66;19.69
615;Kaluga;1;Carretilla;Russia;61.52;105.31
616;Czech;1;Carretilla;Rep.Checa;49.81;15.47
380;Laser Valencia;1;Oficinas administrativas;España;40.46;-3.74
618;Puebla;1;Carretilla;México;23.63;-102.55
619;South Carolina;1;Carretilla;EEUU;37.09;-95.71
620;Argentina;1;Carretilla;Argentina;-38.416.097;-63.616.672
621;Paraná;1;Carretilla;Argentina;-38.416.097;-63.616.672
622;Campinas;1;Carretilla;Brasil;-14.23;-51.92
623;Dongguan;1;Carretilla;China;35.86;104.19
624;Bridge Street;1;Carretilla;UK;55.37;-3.43
625;Newton Aycliffe;1;Carretilla;UK;55.37;-3.43
626;Popes Lane;1;Carretilla;UK;55.37;-3.43
627;Darlaston;1;Carretilla;UK;55.37;-3.43
628;Cannock;1;Carretilla;Holanda;52.13;5.29
629;Barcelona;1;Coil to Coil;España;40.46;-3.74
630;Burgos;1;Coil to Coil;España;40.46;-3.74
631;Tarragona;1;Coil to Coil;España;40.46;-3.74
632;Valencia;1;Coil to Coil;España;40.46;-3.74
633;Portugal;1;Coil to Coil;Portugal;39.39;-8.22
634;Union Street;1;Coil to Coil;UK;55.37;-3.43
419;Laser Valencia;1;Puente Grúa;España;40.46;-3.74
638;Navarra;1;Coil to Coil;España;40.46;-3.74
639;Galicia;1;Coil to Coil;España;40.46;-3.74
459;Laser Valencia;1;Carpinteria;España;40.46;-3.74
498;Laser Valencia;1;Almacen de recambios;España;40.46;-3.74
642;Baja California;1;Coil to Coil;EEUU;37.09;-95.71
643;Çepas;1;Coil to Coil;Turquía;38.96;35.24
644;Colombia;1;Coil to Coil;Colombia;4.57;-74.29
645;Thüringen;1;Coil to Coil;Alemania;511.656;104.515
646;Polska;1;Coil to Coil;Polonia;51.91;19.14
647;Senica;1;Coil to Coil;Eslovaquia;48.66;19.69
648;Kaluga;1;Coil to Coil;Russia;61.52;105.31
649;Czech;1;Coil to Coil;Rep.Checa;49.81;15.47
537;Laser Valencia;1;Almacen productos quimicos;España;40.46;-3.74
651;Puebla;1;Coil to Coil;México;23.63;-102.55
652;South Carolina;1;Coil to Coil;EEUU;37.09;-95.71
653;Argentina;1;Coil to Coil;Argentina;-38.416.097;-63.616.672
654;Paraná;1;Coil to Coil;Argentina;-38.416.097;-63.616.672
655;Campinas;1;Coil to Coil;Brasil;-14.23;-51.92
656;Dongguan;1;Coil to Coil;China;35.86;104.19
657;Bridge Street;1;Coil to Coil;UK;55.37;-3.43
658;Newton Aycliffe;1;Coil to Coil;UK;55.37;-3.43
659;Popes Lane;1;Coil to Coil;UK;55.37;-3.43
660;Darlaston;1;Coil to Coil;UK;55.37;-3.43
661;Cannock;1;Coil to Coil;Holanda;52.13;5.29
570;Laser Valencia;1;Residuos productos quimicos;España;40.46;-3.74
663;Çepas;1;Soldadura Manual;Turquía;38.96;35.24
603;Laser Valencia;1;Carretilla;España;40.46;-3.74
665;Colombia;1;Galvanizado;Colombia;4.57;-74.29
666;Çepas;1;Galvanizado ;Turquía;38.96;35.24
667;Flinsa;1;Almacén de Materia Prima;España;40.46;-3.74
668;Flinsa;1;Almacén de Producto Terminado;España;40.46;-3.74
669;Flinsa;1;Almacen de recambios;España;40.46;-3.74
670;Flinsa;1;Almacén producto semielaborado o en producción;España;40.46;-3.74
671;Flinsa;1;Almacen productos quimicos;España;40.46;-3.74
672;Flinsa;1;Área de embalado;España;40.46;-3.74
673;Flinsa;1;Carretilla;España;40.46;-3.74
674;Flinsa;1;Corte Longitudinal;España;40.46;-3.74
675;Flinsa;1;Corte Plasma;España;40.46;-3.74
676;Flinsa;1;Instalaciones exteriores y auxiliares;España;40.46;-3.74
677;Flinsa;1;Laminado;España;40.46;-3.74
678;Flinsa;1;Mantenimiento;España;40.46;-3.74
679;Flinsa;1;Maquinaria Auxiliar;España;40.46;-3.74
680;Flinsa;1;Oficinas administrativas;España;40.46;-3.74
681;Flinsa;1;Puente Grúa;España;40.46;-3.74
682;Flinsa;1;Residuos productos quimicos;España;40.46;-3.74
683;Flinsa;1;Sierra;España;40.46;-3.74
684;Flinsa;1;Soldadura Manual;España;40.46;-3.74
685;Flinsa;1;Tubos;España;40.46;-3.74
686;Valencia;1;Depuradora;España;40.46;-3.74
700;Thüringen;1;General;Alemania;511.656;10,4515
716;GCF;1;General;Rep.Checa;49.81;15.47
717;Popes Lane;1;Corte Longitudinal;UK;55.37;-3.43
718;Popes Lane;1;Blanking;UK;55.37;-3.43
719;Union Street;1;Slitting;UK;55.37;-3.43
720;Union Street;1;Press Blanking;UK;55.37;-3.43
721;Union Street;1;Shears;UK;55.37;-3.43
722;Union Street;1;Pallet Department;UK;55.37;-3.43
723;Union Street;1;Multi Strand;UK;55.37;-3.43
724;Bridge Street;1;Slitting;UK;55.37;-3.43
725;Newton Aycliffe;1;Slitting ;UK;55.37;-3.43
726;Changshu;1;D-Ring Line;China;35.86;104.19
727;Changshu;1;Ablation Line;China;35.86;104.19
728;Shenyang;1;Ablation Line;China;35.86;104.19
729;Chongqing;1;Ablation Line;China;35.86;104.19
730;Loudi;1;Ablation Line;China;35.86;104.19
731;Nitra;1;Blanking;Eslovaquia;48.66;19.69
732;Nitra;1;Área de embalado;Eslovaquia;48.66;19.69
733;Nitra;0;;Eslovaquia;48.66;19.69
734;Nitra;0;;Eslovaquia;48.66;19.69
735;Nitra;0;;Eslovaquia;48.66;19.69
736;Nitra;0;;Eslovaquia;48.66;19.69
737;Nitra;0;;Eslovaquia;48.66;19.69
738;Nitra;0;;Eslovaquia;48.66;19.69
739;Nitra;0;;Eslovaquia;48.66;19.69
740;Nitra;0;;Eslovaquia;48.66;19.69
741;Nitra;0;;Eslovaquia;48.66;19.69
742;Nitra;0;;Eslovaquia;48.66;19.69
743;Nitra;0;;Eslovaquia;48.66;19.69
744;Nitra;0;;Eslovaquia;48.66;19.69
745;Nitra;0;;Eslovaquia;48.66;19.69
746;Nitra;0;;Eslovaquia;48.66;19.69
747;Nitra;0;;Eslovaquia;48.66;19.69
748;Nitra;0;;Eslovaquia;48.66;19.69
749;Puebla;1;Matricería ;México;23.63;-102.55
750;Puebla;1;Corte Transversal;México;23.63;-102.55
